"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ModelICVP","ModelICVP","ModelICVP","","","",0,*,"","","","null {[]} {[]}
","Model International Certificate of Vaccination or Prophylaxis","Data elements for the Model International Certificate of Vaccination or Prophylaxis.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ModelICVP","ModelICVP.name","ModelICVP.name","","","",1,1,"","","","string {[]} {[]}
","Name","The full name of the client","","","","","","","","","",,,,,"",,,,"ModelICVP.name",1,1,"",""
"ModelICVP","ModelICVP.dob","ModelICVP.dob","","","",1,1,"","","","string {[]} {[]}
","Date of Birth","Date of Birth","","","","","","","","","",,,,,"",,,,"ModelICVP.dob",1,1,"",""
"ModelICVP","ModelICVP.sex","ModelICVP.sex","","","",1,1,"","","","code {[]} {[]}
","Sex","Sex","","","","","","","","","",,,,,"",,,,"ModelICVP.sex",1,1,"",""
"ModelICVP","ModelICVP.nationality","ModelICVP.nationality","","","",1,1,"","","","code {[]} {[]}
","Nationality","Nationality","","","","","","","","","",,,,,"",,,,"ModelICVP.nationality",1,1,"",""
"ModelICVP","ModelICVP.nid","ModelICVP.nid","","","",1,1,"","","","string {[]} {[]}
","National Identification Document","National Identification Document","","","","","","","","","",,,,,"",,,,"ModelICVP.nid",1,1,"",""
"ModelICVP","ModelICVP.guardian","ModelICVP.guardian","","","",1,1,"","","","string {[]} {[]}
","Parent/Guardian","Name of Parent or Guardian","","","","","","","","","",,,,,"",,,,"ModelICVP.guardian",1,1,"",""
"ModelICVP","ModelICVP.disease","ModelICVP.disease","","","",1,1,"","","","string {[]} {[]}
","Disease","Name of disease or condition vaccinated or received prophylaxis against","","","","","","","","","",,,,,"",,,,"ModelICVP.disease",1,1,"",""
"ModelICVP","ModelICVP.vaccineDetails","ModelICVP.vaccineDetails","","","",1,*,"","","","http://worldhealthorganization.github.io/smart/StructureDefinition/ModelVaccineDetails {[]} {[]}
","Vaccine Details","Vaccine Details","","","","","","","","","",,,,,"",,,,"ModelICVP.vaccineDetails",1,*,"",""
"ModelVaccineDetails","ModelVaccineDetails","ModelVaccineDetails","","","",0,*,"","","","null {[]} {[]}
","Vaccine details for Model International Certificate of Vaccination or Prophylaxis","Vaccine Data elements for the Model International Certificate of Vaccination or Prophylaxis.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ModelVaccineDetails","ModelVaccineDetails.vaccine","ModelVaccineDetails.vaccine","","","",1,1,"","","","string {[]} {[]}
","Vaccine","Vaccine or prophylaxis","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.vaccine",1,1,"",""
"ModelVaccineDetails","ModelVaccineDetails.date","ModelVaccineDetails.date","","","",1,1,"","","","date {[]} {[]}
","Date","Date of vaccine","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.date",1,1,"",""
"ModelVaccineDetails","ModelVaccineDetails.name","ModelVaccineDetails.name","","","",1,1,"","","","string {[]} {[]}
","Name of supervising clinician","Name of supervising clinician, or relevant authority responsible for issuing this certificate, or for overseeing the administering centre","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.name",1,1,"",""
"ModelVaccineDetails","ModelVaccineDetails.manufacturer","ModelVaccineDetails.manufacturer","","","",1,1,"","","","string {[]} {[]}
","Manufacturer of vaccine","Manufacturer of vaccine","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.manufacturer",1,1,"",""
"ModelVaccineDetails","ModelVaccineDetails.batchNo","ModelVaccineDetails.batchNo","","","",1,1,"","","","string {[]} {[]}
","Batch No","Batch No","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.batchNo",1,1,"",""
"ModelVaccineDetails","ModelVaccineDetails.validityPeriod","ModelVaccineDetails.validityPeriod","","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/organization-period]]} {[]}
","Certificate validity period","Certificate validity period","","","","","","","","","",,,,,"",,,,"ModelVaccineDetails.validityPeriod",1,1,"",""
